year,jyear,results
2017,平成29,"・春季都大会　　準決勝進出（4位）
　３回戦　西　41―7　合同B（東京電機大学・明法）
　４回戦　西　28―10　日大鶴ヶ丘
　準決勝　西　16―20　早大学院
　３位決定戦　西　6―37　駒場学園
・関東大会　　　準決勝進出（4位）
　１回戦　西　31―14　県立横浜栄
　２回戦　西　20―20　立教新座（ＴＢ6―0）
　準決勝　西　7―61　佼成学園
　３位決定戦　西　0―26　早大学院
・秋季都大会　　4回戦に進出　
　２回戦　西　12―7　日工大駒場
　３回戦　西　21―21　日大鶴ヶ丘（TB　6―7）"
2016,平成28,"・春季都大会　　4回戦に進出
　３回戦　西　7―7　早実（TB　○―○）（抽選勝ち）
　４回戦　西　7―23　　佼成学園
・秋季都大会　　3回戦で敗退
　２回戦　西　53―6　明学東村山
　３回戦　西　0―23　早実　　"
2015,平成27,"・春季都大会　　準決勝進出（4位）
　３回戦　西　42―12　日大二
　４回戦　西　6―6　駒場学園（TB　3―0）
　準決勝　西　7―24　早大学院
　３位決定戦　西　14―21　日大三
・関東大会　　1回戦で敗退
　１回戦　西　3―14　法政二
・秋季都大会　　3位
　３回戦　西　18―0　早実
　４回戦　西　14―0　東海大高輪台
　準決勝　西　6―28　早大学院
　３位決定戦　西　24―7　日大三
・関東大会　　2回戦で敗退
　１回戦　西　16―7　千葉日大一
　２回戦　西　3―3　　慶應（TB　6―7）"
2014,平成26,"・春季都大会　　3回戦で敗退
　３回戦　西　7―27　足立学園
・秋季都大会　　4回戦に進出
　２回戦　西　27―0　都立富士
　３回戦　西　28―0　早実
　４回戦　西　7―31　駒場学園"
2013,平成25,"・春季都大会　　3回戦で敗退
　３回戦　西　6―14　東京都市大附属
・秋季都大会　　4回戦に進出
　３回戦　西　42―0　東京電機大附属
　４回戦　西　13―51　日大三"
2012,平成24,"・春季都大会　　3回戦で敗退
　３回戦　西　9―14　日大鶴ヶ丘
・秋季都大会　　4回戦に進出
　２回戦　西　23―13　明治学院
　３回戦　西　44―0　早実
　４回戦　西　8―18　早大学院"
2011,平成23,"・春季都大会　　3位
　３回戦　西　14―0　明治学院
　４回戦　西　42―6　都立北多摩
　準決勝　西　14―24　早大学院
　３位決定戦　西　―　日大三（震災影響から大会特別規定による抽選）
・関東大会　　1回戦で敗退
　１回戦　西　14―17　慶應
・秋季都大会　　準優勝
　３回戦　西　53―3　日体荏原
　４回戦　西　34―0　明学東村山
　準決勝　西　35―20　佼成学園
　決勝　西　19―21　早大学院
・関東大会　　3回戦に進出
　２回戦　西　53―7　三島
　３回戦　西　24―28　慶應"
2010,平成22,"・春季都大会　　2回戦で敗退
　２回戦　西　20―30　足立学園
・秋季都大会　　4回戦に進出
　３回戦　西　35―32　中大附属
　４回戦　西　6―42　日大三"
2009,平成21,"・春季都大会　　4回戦に進出
　２回戦　西　44―0　日大二
　３回戦　西　65―7　東京都市大附属
　４回戦　西　15―75　日大三
・秋季都大会　　4回戦に進出
　２回戦　西　47―6　明学東村山
　３回戦　西　45―0　都立富士
　４回戦　西　21―34　佼成学園"
2008,平成20,"・春季都大会　　4回戦に進出
　２回戦　西　44―6　合同B（昭和第一学園・関東第一・日体荏原）
　３回戦　西　20―14　駒場学園
　４回戦　西　28―40　日大鶴ヶ丘
・秋季都大会　　3回戦で敗退
　２回戦　西　66―0　都立片倉
　３回戦　西　3―14　佼成学園"
2007,平成19,"・春季都大会　　2回戦で敗退
　２回戦　西　0―16　中大附属
・秋季都大会　　2回戦で敗退
　１回戦　西　74―6　都立片倉
　２回戦　西　0―26　佼成学園"
